잔여좌석,전체좌석,사용중,년,월,일,시간,요일코드,열람실 ID,Exam_Flag,Holiday_Flag,Post_Holiday_Flag,EMA_Short,EMA_Periodic
371,375,4,2025,10,3,7,4,1,0,1,0,0.010666666666666666,0.010666666666666666
369,375,6,2025,10,3,7,4,1,0,1,0,0.016,0.016
366,375,9,2025,10,3,8,4,1,0,1,0,0.024,0.024
367,375,8,2025,10,3,8,4,1,0,1,0,0.021333333333333333,0.021333333333333333
338,375,37,2025,10,3,10,4,1,0,1,0,0.09866666666666667,0.09866666666666667
338,375,37,2025,10,3,10,4,1,0,1,0,0.09866666666666667,0.09866666666666667
332,375,43,2025,10,3,10,4,1,0,1,0,0.11466666666666667,0.11466666666666667
312,375,63,2025,10,3,11,4,1,0,1,0,0.168,0.168
289,375,86,2025,10,3,12,4,1,0,1,0,0.22933333333333333,0.22933333333333333
278,375,97,2025,10,3,12,4,1,0,1,0,0.25866666666666666,0.25866666666666666
262,375,113,2025,10,3,13,4,1,0,1,0,0.30133333333333334,0.30133333333333334
244,375,131,2025,10,3,13,4,1,0,1,0,0.34933333333333333,0.34933333333333333
205,375,170,2025,10,3,14,4,1,0,1,0,0.4533333333333333,0.4533333333333333
198,375,177,2025,10,3,14,4,1,0,1,0,0.472,0.472
173,375,202,2025,10,3,15,4,1,0,1,0,0.5386666666666666,0.5386666666666666
158,375,217,2025,10,3,15,4,1,0,1,0,0.5786666666666667,0.5786666666666667
161,375,214,2025,10,3,16,4,1,0,1,0,0.5706666666666667,0.5706666666666667
160,375,215,2025,10,3,16,4,1,0,1,0,0.5733333333333334,0.5733333333333334
174,375,201,2025,10,3,17,4,1,0,1,0,0.536,0.536
172,375,203,2025,10,3,17,4,1,0,1,0,0.5413333333333333,0.5413333333333333
172,375,203,2025,10,3,18,4,1,0,1,0,0.5413333333333333,0.5413333333333333
176,375,199,2025,10,3,18,4,1,0,1,0,0.5306666666666666,0.5306666666666666
175,375,200,2025,10,3,19,4,1,0,1,0,0.5333333333333333,0.5333333333333333
176,375,199,2025,10,3,19,4,1,0,1,0,0.5306666666666666,0.5306666666666666
182,375,193,2025,10,3,20,4,1,0,1,0,0.5146666666666667,0.5146666666666667
